45	121	301	90
305	222	263	95
90	90	90	90
77	53	90	90
190	90	297	90
90	90	68	90
90	141	149	90
344	188	90	90
198	90	90	207
90	358	242	90
77	229	90	90
90	90	90	90
90	270	90	138
90	233	90	308
90	90	44	169
90	90	151	90
90	90	90	104
131	135	6	212
290	90	153	8
90	216	90	88
90	90	90	107
228	90	90	90
170	37	214	90
166	90	90	270
202	90	90	8
90	90	90	20
90	128	90	90
330	90	18	90
90	90	333	285
174	90	90	90
202	90	67	165
56	90	90	123
90	90	198	47
90	90	90	90
166	90	90	90
63	285	90	26
90	90	277	245
90	90	90	90
272	75	90	90
206	90	90	308
90	90	76	90
90	13	167	90
195	90	69	90
90	90	170	216
354	87	90	90
90	151	263	90
90	267	90	336
29	55	90	90
110	245	90	90
84	216	41	90
90	23	93	90
334	256	90	90
35	255	347	90
90	90	90	5
90	100	90	227
43	236	90	90
274	90	286	31
38	261	90	90
90	214	190	90
331	90	8	90
90	90	31	90
90	206	90	90
90	90	90	90
242	90	350	94
90	90	238	90
254	90	90	12
337	139	90	90
90	39	90	110
90	286	208	193
90	243	300	90
90	230	92	90
44	90	136	90
46	90	290	317
90	90	320	90
90	227	144	90
90	90	90	90
90	90	90	342
90	244	90	90
90	127	90	14
90	33	90	147
90	15	44	148
90	90	255	90
90	192	90	278
90	90	90	25
259	11	90	126
9	90	309	90
90	62	90	183
143	285	139	90
90	301	336	281
90	20	292	90
90	4	59	90
90	90	27	270
266	90	90	90
148	191	90	231
40	90	15	90
28	60	90	90
90	48	90	90
90	90	113	90
90	90	90	326
13	90	346	90
26	90	193	90
90	146	90	117
245	243	350	291
90	121	90	241
90	90	90	90
175	212	90	90
90	90	90	90
264	90	90	90
290	343	310	90
90	90	90	90
90	43	90	90
90	48	63	90
90	324	85	90
90	35	90	12
90	90	343	265
90	90	90	90
347	90	90	90
90	184	90	90
164	85	250	29
86	344	90	90
90	341	351	90
52	204	357	68
42	90	8	90
90	101	345	20
285	347	115	90
258	90	90	90
90	174	90	90
154	90	90	352
90	90	43	345
6	181	94	21
90	152	90	116
242	90	90	90
90	86	90	90
90	90	194	300
90	90	90	90
300	90	331	90
90	24	90	90
90	239	90	90
84	266	90	90
90	204	270	188
80	90	63	90
90	278	55	90
173	51	90	90
172	5	224	90
90	90	167	90
312	90	90	90
187	90	90	90
90	90	90	90
323	225	10	308
90	90	90	90
291	90	90	90
90	117	90	98
90	29	241	294
290	90	194	90
31	90	90	253
90	90	237	287
90	90	90	90
90	90	90	90
280	227	90	90
90	90	90	90
90	90	90	90
90	29	350	90
322	138	210	233
90	90	50	130
90	90	186	90
90	107	90	90
90	43	314	90
118	62	90	90
347	90	226	90
245	192	16	124
267	90	90	90
90	197	90	77
90	250	90	90
302	90	90	224
272	164	90	90
38	90	271	90
90	90	348	155
324	90	187	120
167	90	150	90
90	240	90	90
104	134	205	139
327	90	90	90
118	90	98	90
90	90	229	90
90	90	90	90
90	22	90	90
90	90	290	90
317	90	294	90
90	90	118	62
90	90	90	90
90	90	90	90
22	90	305	90
90	90	90	90
219	132	120	26
90	90	90	22
326	90	16	90
90	205	247	313
15	151	106	59
90	90	15	90
308	90	314	69
90	1	174	90
51	194	89	99
90	245	212	90
90	90	90	252
164	90	90	297
90	60	90	148
345	64	90	337
205	200	270	7
51	90	90	352
90	90	203	232
90	185	90	90
259	90	358	137
90	16	90	38
4	170	90	155
219	90	18	157
277	105	31	83
75	125	90	199
341	90	90	82
90	5	90	91
90	292	90	16
90	90	98	255
268	90	90	90
17	57	351	90
75	145	90	90
263	253	90	90
340	309	97	193
143	326	90	90
90	88	327	91
90	90	90	110
208	274	89	249
90	90	90	90
90	93	87	90
90	142	90	73
90	90	138	267
90	90	90	90
356	90	172	90
90	90	252	301
